Elmidae,Curculionidae,Dasyhelea.B,Tipulidae,Corethrella.sp.,Toxorhynchtes.sp.,Culiseta.sp.,Empididae,Ephydridae,Psychodidae,Leptagrion,Elpidium.Bromelarium,Dero.Superterrenus,Scirtes,Chironomid,Ceratopogonid,Culex,Tabanid,Wyeomya,Brom
0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,B_1_1
0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,B_1_2
0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,B_1_3
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,B_1_4
0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,B_1_5
0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,B_1_6
0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,B_1_7
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,B_1_8
0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,B_1_9
0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,B_1_10
0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,B_2_1
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,B_2_2
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,B_2_3
1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,B_2_4
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,B_2_5
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,B_2_6
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,B_2_7
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,B_2_8
0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,B_2_9
0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,B_2_10
0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,B_3_1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,B_3_2
0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,B_3_3
0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,B_3_4
0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,B_3_5
0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,B_3_6
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,B_3_7
0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,B_3_8
0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,B_3_9
0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,B_3_10
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,B_4_1
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,B_4_2
0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,B_4_3
